name,nickname,born,record,earnings_$,height_cm,reach_cm,weight_kg,weight_class,last_fight
Екатерина Шакалова,N/A,1997.08.31,8-2-0 (Win-Loss-Draw),$0 USD,"5'2"" (158cm)","62.6"" (159cm)",144.2 lbs,Featherweight,"May 17, 2024"
Emily Marisa Ducote,Gordinha,1994.01.01,13-9-0 (Win-Loss-Draw),$0 USD,"5'2"" (157cm)","63.0"" (160cm)",115.5 lbs,Strawweight,"May 18, 2024"
Fabacary Diatta,N/A,1996.10.16,9-1-0 (Win-Loss-Draw),$0 USD,"5'9"" (175cm)","70.5"" (179cm)",145.4 lbs,Featherweight,"May 12, 2023"
Dumitru Girlean,N/A,1994.11.07,8-2-0 (Win-Loss-Draw),$0 USD,"5'9"" (175cm)",N/A,154.3 lbs,Lightweight,"April 20, 2024"
Ana Talita de Oliveira Alencar,Problem Child,1990.10.17,5-0-1 (Win-Loss-Draw),$0 USD,"5'1"" (155cm)","58.5"" (149cm)",116.0 lbs,Strawweight,"December 09, 2023"
Michael Joseph Perry,Platinum,1991.09.15,14-8-0 (Win-Loss-Draw),"$744,000 USD","5'10"" (178cm)","71.0"" (180cm)",170.0 lbs,Welterweight,"April 10, 2021"
Diana Irena Belbiţă,The Warrior Princess,1996.06.26,15-9-0 (Win-Loss-Draw),$0 USD,"5'7"" (170cm)","68.0"" (173cm)",116.0 lbs,Strawweight,"February 03, 2024"
Jamal Pogues,The Stormtrooper,1995.12.01,11-4-0 (Win-Loss-Draw),$0 USD,"6'3"" (191cm)","77.0"" (196cm)",265.5 lbs,Heavyweight,"February 03, 2024"
Dan Argueta,The Determined,1993.08.13,"9-2-0, 2 NC (Win-Loss-Draw)",$0 USD,"5'7"" (170cm)","68.0"" (173cm)",136.0 lbs,Bantamweight,"April 06, 2024"
Elise Reed,N/A,1992.12.05,7-4-0 (Win-Loss-Draw),$0 USD,"5'3"" (160cm)","63.0"" (160cm)",115.5 lbs,Strawweight,"September 16, 2023"
Nong Stamp,N/A,1997.09.27,11-2-0 (Win-Loss-Draw),$0 USD,"5'2"" (157cm)","63.0"" (160cm)",114.1 lbs,Strawweight,"September 29, 2023"
Carlos Hernandez,N/A,1993.10.25,9-3-0 (Win-Loss-Draw),$0 USD,"5'8"" (173cm)","67.0"" (170cm)",125.0 lbs,Flyweight,"December 09, 2023"
"田丸 辰, Tamaru Toki",N/A,2002.02.06,N/A,$0 USD,"5'4"" (163cm)",N/A,N/A,Flyweight,N/A
Marc Diakiese,Bonecrusher,1993.03.16,17-7-0 (Win-Loss-Draw),"$214,000 USD","5'10"" (178cm)","73.0"" (185cm)",155.0 lbs,Lightweight,"November 04, 2023"
"吉成名高, Yoshinari Nadaka",N/A,2001.01.08,N/A,$0 USD,"5'4"" (163cm)",N/A,N/A,Atomweight,N/A
Luana Carolina Carvalho de Souza,Dread,1993.06.11,10-4-0 (Win-Loss-Draw),$0 USD,"5'6"" (168cm)","69.0"" (175cm)",128.0 lbs,Flyweight,"February 03, 2024"
Davion Robby Franklin,All Day,1994.06.21,6-2-0 (Win-Loss-Draw),$0 USD,"6'3"" (191cm)","80.0"" (203cm)",265.0 lbs,Heavyweight,"October 07, 2023"
Natalia Yuryevna Kuziutina,Kuzya,1989.05.08,5-1-0 (Win-Loss-Draw),$0 USD,"5'3"" (160cm)","64.5"" (164cm)",115.4 lbs,Strawweight,"December 15, 2023"
Mitchell McKee,Merciless,1997.12.24,6-0-0 (Win-Loss-Draw),$0 USD,"5'7"" (170cm)","66.0"" (168cm)",135.8 lbs,Bantamweight,"April 26, 2024"
Johnathan Thomas Dodson III,The Magician,1984.09.26,24-14-0 (Win-Loss-Draw),"$642,000 USD","5'3"" (161cm)","66.0"" (168cm)",135.4 lbs,Flyweight,"December 31, 2023"
Kyle Driscoll,N/A,1994.09.23,14-4-0 (Win-Loss-Draw),$0 USD,"5'11"" (180cm)","72.0"" (183cm)",155.7 lbs,Lightweight,"June 02, 2023"
Lucero Acosta,La Loba,1994.08.23,5-2-0 (Win-Loss-Draw),$0 USD,"5'6"" (168cm)","69.0"" (175cm)",124.0 lbs,Flyweight,"December 17, 2023"
